Emotion,across_Ratio_1,across_Ratio_2,across_Ratio_3,across_Ratio_4,across_Ratio_5,across_Ratio_6,across_Ratio_7,across_Ratio_8,across_Ratio_9,across_Ratio_10,across_Ratio_11,across_Ratio_12,across_Ratio_13,across_Ratio_14,across_Ratio_15,across_Ratio_16,across_Ratio_17
Admiration,0.0,0.019,0.009,0.697,0.069,0.0,0.015,0.0,0.0,0.004,0.006,0.137,0.005,0.0,0.039,0.0,0.0
Amae,0.0,0.0,0.012,0.0,0.005,0.01,0.035,0.013,0.016,0.006,0.01,0.14,0.714,0.0,0.019,0.012,0.009
Amusement,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.218,0.025,0.0,0.019,0.0,0.0
Awe,0.0,0.004,0.0,0.026,0.014,0.0,0.004,0.0,0.0,0.0,0.006,0.107,0.0,0.0,0.838,0.0,0.0
Determination,0.0,0.011,0.0,0.0,0.044,0.009,0.3,0.014,0.0,0.0,0.0,0.594,0.017,0.006,0.004,0.0,0.0
Elation,0.009,0.071,0.0,0.0,0.021,0.01,0.276,0.032,0.0,0.0,0.013,0.489,0.037,0.0,0.038,0.003,0.0
Elevation,0.0,0.0,0.0,0.014,0.004,0.007,0.0,0.0,0.0,0.0,0.033,0.642,0.071,0.0,0.204,0.018,0.008
Excitement,0.0,0.01,0.0,0.0,0.0,0.004,0.006,0.739,0.0,0.0,0.013,0.173,0.034,0.0,0.02,0.0,0.0
Gratitude,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.004,0.0,0.006,0.006,0.152,0.8,0.0,0.017,0.005,0.0
Hope,0.0,0.012,0.0,0.0,0.0,0.0,0.061,0.017,0.0,0.767,0.0,0.126,0.017,0.0,0.0,0.0,0.0
Inspiration,0.0,0.0,0.0,0.003,0.174,0.0,0.0,0.016,0.0,0.0,0.039,0.652,0.01,0.0,0.107,0.0,0.0
Interested,0.0,0.0,0.004,0.005,0.791,0.0,0.0,0.0,0.0,0.0,0.013,0.151,0.0,0.0,0.036,0.0,0.0
Lust,0.0,0.0,0.0,0.0,0.018,0.006,0.0,0.023,0.652,0.0,0.015,0.224,0.023,0.0,0.038,0.0,0.0
Moved,0.0,0.0,0.0,0.0,0.004,0.0,0.028,0.0,0.0,0.0,0.617,0.086,0.04,0.012,0.176,0.038,0.0
Positive_Surprise,0.57,0.004,0.005,0.0,0.0,0.0,0.092,0.035,0.0,0.006,0.0,0.202,0.06,0.0,0.016,0.006,0.003
Pride,0.0,0.0,0.0,0.02,0.009,0.0,0.06,0.018,0.0,0.0,0.0,0.201,0.0,0.676,0.015,0.0,0.0
Relief,0.0,0.0,0.0,0.0,0.007,0.0,0.289,0.029,0.0,0.0,0.0,0.592,0.069,0.0,0.0,0.014,0.0
Respected,0.0,0.0,0.0,0.0,0.003,0.0,0.007,0.004,0.0,0.0,0.0,0.146,0.016,0.004,0.015,0.0,0.804
Schadenfreude,0.0,0.032,0.072,0.0,0.007,0.0,0.124,0.0,0.0,0.0,0.019,0.703,0.034,0.0,0.007,0.0,0.002
Sensory_Pleasure,0.0,0.0,0.0,0.0,0.0,0.713,0.0,0.0,0.0,0.0,0.0,0.054,0.015,0.0,0.202,0.006,0.01
Tenderness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.148,0.097,0.0,0.0,0.747,0.0
Triumph,0.0,0.366,0.0,0.0,0.0,0.0,0.196,0.005,0.0,0.0,0.0,0.402,0.009,0.022,0.0,0.0,0.0
