emotion,PartNumber,clusters,words,count
Amae,p69_0094,11,aai,1
Tederheid_Tenderness,39,15,aaibaar,1
Amae,35,12,aaien,1
Amae,129,12,aaien,2
Amae,161,15,aaien,1
Amusement,7,2,aaien,1
Amusement,50,11,aaien,1
Euforie_Elation,45,11,aaien,1
Tederheid_Tenderness,3,15,aaien,1
Tederheid_Tenderness,11,15,aaien,1
Tederheid_Tenderness,39,15,aaien,1
Tederheid_Tenderness,61,15,aaien,1
Tederheid_Tenderness,63,15,aaien,1
Tederheid_Tenderness,68,15,aaien,2
Tederheid_Tenderness,p69_0077,15,aaien,1
Tederheid_Tenderness,79,15,aaien,1
Tederheid_Tenderness,87,15,aaien,1
Tederheid_Tenderness,90,15,aaien,1
Tederheid_Tenderness,110,15,aaien,1
Tederheid_Tenderness,112,15,aaien,1
Tederheid_Tenderness,118,15,aaien,1
Tederheid_Tenderness,122,15,aaien,1
Tederheid_Tenderness,138,15,aaien,1
Tederheid_Tenderness,147,15,aaien,1
Tederheid_Tenderness,154,15,aaien,1
Tederheid_Tenderness,156,15,aaien,1
Tederheid_Tenderness,158,15,aaien,1
Tederheid_Tenderness,190,15,aaien,1
Tederheid_Tenderness,193,15,aaien,3
Tederheid_Tenderness,199,15,aaien,1
Dankbaarheid_Gratitude,92,12,aanbellen,1
Opwinding_Excitement,138,11,aanbellen,1
Verlichting_Elevation,174,11,aanbellen,1
Interesse_Interested,182,4,aanbevelen,1
Opluchting_Relief,109,11,aanbeveling,1
Dankbaarheid_Gratitude,177,11,aanbevelingsbrief,1
Dankbaarheid_Gratitude,p69_0077,12,aanbieden,1
Dankbaarheid_Gratitude,126,12,aanbieden,1
Gerespecteerd_Respected,2,16,aanbieden,1
Gerespecteerd_Respected,129,16,aanbieden,1
Gerespecteerd_Respected,143,16,aanbieden,1
Hoop_Hope,159,9,aanbieden,1
Ontroering_Moved,35,14,aanbieden,1
Verrassing_PositiveSurprise,7,7,aanbieden,1
Verrassing_PositiveSurprise,31,0,aanbieden,1
Verrassing_PositiveSurprise,33,0,aanbieden,1
Verlichting_Elevation,81,11,aanbieden,1
Verlichting_Elevation,115,11,aanbieden,2
Verlichting_Elevation,144,11,aanbieden,1
Verlichting_Elevation,145,11,aanbieden,1
Verlichting_Elevation,174,11,aanbieden,1
Verrassing_PositiveSurprise,159,0,aanbieding,1
Verrassing_PositiveSurprise,168,0,aanbieding,1
Verlichting_Elevation,72,11,aanblijven,1
Verrassing_PositiveSurprise,112,0,aanbod,1
Amusement,50,11,aanbranden,1
Gerespecteerd_Respected,88,16,aanbrengen,1
Vastberadenheid_Determination,158,11,aanbrengen,1
Opwinding_Excitement,146,7,aand,1
Amae,17,11,aandacht,1
Amae,56,12,aandacht,1
Amae,113,12,aandacht,1
Amae,169,4,aandacht,1
Bewondering_Adniration,39,4,aandacht,3
Bewondering_Adniration,137,3,aandacht,2
Gerespecteerd_Respected,51,16,aandacht,1
Gerespecteerd_Respected,54,16,aandacht,2
Gerespecteerd_Respected,83,16,aandacht,1
Gerespecteerd_Respected,99,11,aandacht,2
Hoop_Hope,196,11,aandacht,1
Inspiratie_Inspiration,68,14,aandacht,1
Inspiratie_Inspiration,77,11,aandacht,2
Inspiratie_Inspiration,130,11,aandacht,1
Inspiratie_Inspiration,140,4,aandacht,1
Inspiratie_Inspiration,191,4,aandacht,1
Interesse_Interested,113,4,aandacht,1
Lust,83,7,aandacht,1
Lust,85,11,aandacht,1
Lust,99,8,aandacht,1
Ontroering_Moved,20,10,aandacht,2
Ontroering_Moved,64,10,aandacht,1
Ontroering_Moved,73,10,aandacht,1
Ontroering_Moved,83,11,aandacht,4
Verrassing_PositiveSurprise,174,0,aandacht,1
Schadenfreude,17,11,aandacht,1
Schadenfreude,36,4,aandacht,2
Schadenfreude,79,11,aandacht,1
Schadenfreude,92,11,aandacht,1
Schadenfreude,108,11,aandacht,1
Tederheid_Tenderness,8,12,aandacht,3
Tederheid_Tenderness,27,15,aandacht,2
Tederheid_Tenderness,102,15,aandacht,2
Tederheid_Tenderness,115,11,aandacht,1
Tederheid_Tenderness,137,15,aandacht,2
Tederheid_Tenderness,171,15,aandacht,2
Trots_Pride,39,11,aandacht,1
Vastberadenheid_Determination,36,4,aandacht,1
Verlichting_Elevation,14,11,aandacht,1
Verlichting_Elevation,20,14,aandacht,1
Verlichting_Elevation,175,11,aandacht,1
Zintuiglijk_SensoryPleasure,80,5,aandacht,1
Zintuiglijk_SensoryPleasure,110,5,aandacht,1
Bewondering_Adniration,137,3,aandachtig,1
Gerespecteerd_Respected,39,11,aandachtig,1
Gerespecteerd_Respected,54,16,aandachtig,1
Gerespecteerd_Respected,57,16,aandachtig,2
Ontroering_Moved,109,14,aandachtig,1
Gerespecteerd_Respected,174,16,aandachttrekkerij,1
Schadenfreude,174,11,aandachttrekkerij,1
Vastberadenheid_Determination,110,4,aandeel,1
Schadenfreude,77,2,aandikken,1
Hoop_Hope,195,9,aandoen,1
Lust,p69_0077,14,aandoen,1
Opluchting_Relief,110,11,aandoen,1
Opwinding_Excitement,77,7,aandoen,1
Opwinding_Excitement,137,7,aandoen,1
Opwinding_Excitement,138,11,aandoen,1
Verrassing_PositiveSurprise,174,0,aandoen,1
Schadenfreude,116,11,aandoen,1
Schadenfreude,161,11,aandoen,1
Schadenfreude,198,11,aandoen,1
Tederheid_Tenderness,155,15,aandoen,1
Tederheid_Tenderness,184,15,aandoen,1
Interesse_Interested,18,4,aandoening,2
Interesse_Interested,90,4,aandoening,1
Amusement,145,2,aandoenlijk,1
Amusement,174,11,aandoenlijk,1
Ontroering_Moved,18,10,aandoenlijk,1
Tederheid_Tenderness,126,15,aandoenlijk,1
Tederheid_Tenderness,170,12,aandoenlijk,1
Verrassing_PositiveSurprise,141,11,aandragen,1
Dankbaarheid_Gratitude,18,12,aandringen,1
Tederheid_Tenderness,24,15,aandrukken,1
Schadenfreude,87,11,aanduiden,1
Bewondering_Adniration,105,3,aangaan,1
Gerespecteerd_Respected,83,16,aangaan,1
Gerespecteerd_Respected,126,16,aangaan,2
Interesse_Interested,172,4,aangaan,1
Opluchting_Relief,196,11,aangaan,1
Trots_Pride,182,11,aangaan,1
Verrassing_PositiveSurprise,27,0,aangenaam,1
Verrassing_PositiveSurprise,36,0,aangenaam,1
Verrassing_PositiveSurprise,108,0,aangenaam,1
Verrassing_PositiveSurprise,165,0,aangenaam,1
Schadenfreude,174,11,aangenaam,1
Amae,196,12,aangeven,1
Dankbaarheid_Gratitude,59,12,aangeven,1
Dankbaarheid_Gratitude,91,12,aangeven,1
Euforie_Elation,67,11,aangeven,1
Gerespecteerd_Respected,17,16,aangeven,1
Gerespecteerd_Respected,23,16,aangeven,2
Gerespecteerd_Respected,26,16,aangeven,1
Gerespecteerd_Respected,35,16,aangeven,2
Gerespecteerd_Respected,88,16,aangeven,1
Gerespecteerd_Respected,190,16,aangeven,1
Inspiratie_Inspiration,35,11,aangeven,1
Inspiratie_Inspiration,150,11,aangeven,1
Inspiratie_Inspiration,159,11,aangeven,1
Interesse_Interested,158,4,aangeven,1
Opluchting_Relief,54,11,aangeven,1
Opluchting_Relief,107,11,aangeven,1
Verrassing_PositiveSurprise,13,7,aangeven,1
Verrassing_PositiveSurprise,35,0,aangeven,1
Verrassing_PositiveSurprise,54,9,aangeven,1
Schadenfreude,88,11,aangeven,1
Trots_Pride,72,11,aangeven,1
Trots_Pride,83,13,aangeven,1
Vastberadenheid_Determination,23,11,aangeven,1
Vastberadenheid_Determination,45,11,aangeven,2
Verlichting_Elevation,91,11,aangeven,1
Verwondering_Awe,43,11,aangeven,1
Zintuiglijk_SensoryPleasure,77,5,aangeven,1
Schadenfreude,198,11,aangifte,1
Bewondering_Adniration,29,11,aangrijpen,1
Ontroering_Moved,123,10,aangrijpen,1
Amae,8,12,aanhalen,2
Amusement,27,7,aanhalen,1
Tederheid_Tenderness,79,15,aanhalen,1
Verrassing_PositiveSurprise,9,0,aanhang,1
Verrassing_PositiveSurprise,183,0,aanhang,1
Gerespecteerd_Respected,190,16,aanhangen,1
Tederheid_Tenderness,168,11,aanhangen,1
Gerespecteerd_Respected,79,14,aanhebben,1
Amusement,78,11,aanhouden,2
Euforie_Elation,167,1,aanhouden,1
Schadenfreude,153,11,aanhouden,1
Vastberadenheid_Determination,190,11,aanhouden,1
Amusement,52,2,aankaarten,1
Inspiratie_Inspiration,86,4,aankaarten,1
Interesse_Interested,52,4,aankaarten,1
Opluchting_Relief,91,11,aankaarten,1
Amusement,43,2,aankijken,1
Bewondering_Adniration,p69_0094,4,aankijken,1
Bewondering_Adniration,129,3,aankijken,1
Dankbaarheid_Gratitude,91,12,aankijken,1
Euforie_Elation,99,11,aankijken,1
Gerespecteerd_Respected,40,16,aankijken,1
Gerespecteerd_Respected,112,16,aankijken,1
Inspiratie_Inspiration,191,4,aankijken,2
Interesse_Interested,123,4,aankijken,2
Ontroering_Moved,139,10,aankijken,1
Opluchting_Relief,43,11,aankijken,1
Verrassing_PositiveSurprise,137,0,aankijken,1
Verrassing_PositiveSurprise,174,0,aankijken,2
Tederheid_Tenderness,99,15,aankijken,1
Triomf_Triumph,7,1,aankijken,1
Trots_Pride,168,11,aankijken,1
Verlichting_Elevation,175,11,aankijken,1
Vastberadenheid_Determination,195,11,aanklagen,1
Amusement,65,11,aankleden,1
Bewondering_Adniration,57,3,aankleden,1
Euforie_Elation,181,6,aankleden,1
Verrassing_PositiveSurprise,116,0,aankleden,1
Zintuiglijk_SensoryPleasure,36,5,aankleden,1
Zintuiglijk_SensoryPleasure,74,5,aankleding,1
Euforie_Elation,24,11,aankloppen,1
Schadenfreude,101,11,aankloppen,1
Opluchting_Relief,91,11,aanknopen,1
Amae,57,12,aankomen,1
Amae,99,12,aankomen,1
Amae,128,12,aankomen,1
Amae,160,12,aankomen,1
Amae,195,12,aankomen,1
Amae,198,12,aankomen,1
Dankbaarheid_Gratitude,54,14,aankomen,1
Dankbaarheid_Gratitude,121,12,aankomen,1
Dankbaarheid_Gratitude,138,12,aankomen,1
Euforie_Elation,6,6,aankomen,1
Euforie_Elation,27,11,aankomen,1
Euforie_Elation,131,11,aankomen,1
Euforie_Elation,146,11,aankomen,1
Gerespecteerd_Respected,27,16,aankomen,1
Gerespecteerd_Respected,119,16,aankomen,1
Gerespecteerd_Respected,148,16,aankomen,1
Hoop_Hope,6,11,aankomen,1
Hoop_Hope,8,9,aankomen,1
Hoop_Hope,36,9,aankomen,1
Hoop_Hope,195,9,aankomen,1
Inspiratie_Inspiration,26,11,aankomen,1
Inspiratie_Inspiration,96,11,aankomen,1
Ontroering_Moved,121,10,aankomen,1
Ontroering_Moved,181,10,aankomen,2
Opwinding_Excitement,3,7,aankomen,1
Opwinding_Excitement,49,7,aankomen,1
Opwinding_Excitement,70,7,aankomen,1
Opwinding_Excitement,79,7,aankomen,2
Opwinding_Excitement,138,11,aankomen,1
Opwinding_Excitement,148,7,aankomen,1
Opwinding_Excitement,170,11,aankomen,1
Opwinding_Excitement,176,7,aankomen,1
Verrassing_PositiveSurprise,9,0,aankomen,2
Verrassing_PositiveSurprise,27,0,aankomen,1
Verrassing_PositiveSurprise,30,11,aankomen,1
Verrassing_PositiveSurprise,41,11,aankomen,1
Verrassing_PositiveSurprise,49,0,aankomen,4
Verrassing_PositiveSurprise,52,0,aankomen,3
Verrassing_PositiveSurprise,56,6,aankomen,1
Verrassing_PositiveSurprise,57,11,aankomen,1
Verrassing_PositiveSurprise,58,0,aankomen,1
Verrassing_PositiveSurprise,63,0,aankomen,2
Verrassing_PositiveSurprise,79,14,aankomen,1
Verrassing_PositiveSurprise,87,0,aankomen,1
Verrassing_PositiveSurprise,107,0,aankomen,1
Verrassing_PositiveSurprise,115,0,aankomen,1
Verrassing_PositiveSurprise,122,0,aankomen,1
Verrassing_PositiveSurprise,128,0,aankomen,1
Verrassing_PositiveSurprise,138,12,aankomen,1
Verrassing_PositiveSurprise,145,0,aankomen,1
Verrassing_PositiveSurprise,150,0,aankomen,1
Verrassing_PositiveSurprise,153,12,aankomen,1
Verrassing_PositiveSurprise,157,0,aankomen,1
Verrassing_PositiveSurprise,182,11,aankomen,1
Verrassing_PositiveSurprise,191,0,aankomen,1
Schadenfreude,55,11,aankomen,1
Schadenfreude,186,11,aankomen,1
Tederheid_Tenderness,18,15,aankomen,1
Tederheid_Tenderness,56,15,aankomen,1
Tederheid_Tenderness,79,15,aankomen,1
Tederheid_Tenderness,181,15,aankomen,1
Triomf_Triumph,181,11,aankomen,1
Triomf_Triumph,199,1,aankomen,2
Trots_Pride,65,13,aankomen,1
Trots_Pride,p69_0094,13,aankomen,1
Trots_Pride,115,13,aankomen,1
Trots_Pride,184,13,aankomen,2
Verlichting_Elevation,11,11,aankomen,1
Verlichting_Elevation,79,11,aankomen,1
Verwondering_Awe,1,14,aankomen,1
Verwondering_Awe,22,11,aankomen,1
Verwondering_Awe,33,14,aankomen,1
Verwondering_Awe,54,14,aankomen,1
Verwondering_Awe,99,14,aankomen,1
Verwondering_Awe,147,14,aankomen,1
Verwondering_Awe,196,14,aankomen,1
Zintuiglijk_SensoryPleasure,82,5,aankomen,1
Ontroering_Moved,187,15,aankondigen,1
Opluchting_Relief,17,12,aankondiging,1
Verrassing_PositiveSurprise,109,11,aankoopprijs,1
Ontroering_Moved,116,10,aankruipen,1
Verwondering_Awe,174,14,aankruisen,1
Amusement,177,2,aankunnen,1
Euforie_Elation,67,11,aankunnen,1
Verrassing_PositiveSurprise,54,9,aankunnen,1
Triomf_Triumph,175,6,aankunnen,1
Vastberadenheid_Determination,110,4,aankunnen,1
Vastberadenheid_Determination,168,6,aankunnen,1
Vastberadenheid_Determination,194,11,aankunnen,2
Verwondering_Awe,182,14,aankunnen,1
Bewondering_Adniration,54,11,aanleg,1
Bewondering_Adniration,54,11,aanleggen,2
Ontroering_Moved,27,10,aanleggen,1
Amusement,71,2,aanleiding,1
Dankbaarheid_Gratitude,118,12,aanleiding,1
Euforie_Elation,129,11,aanleiding,2
Gerespecteerd_Respected,109,16,aanleiding,1
Verrassing_PositiveSurprise,29,11,aanleiding,1
Schadenfreude,82,11,aanleiding,1
Verwondering_Awe,62,14,aanleiding,1
Bewondering_Adniration,105,3,aanleren,1
Bewondering_Adniration,192,3,aanleren,1
Interesse_Interested,164,4,aanleren,1
Vastberadenheid_Determination,145,11,aanleren,2
Amae,187,11,aanleunen,1
Amae,113,12,aanliggen,1
Tederheid_Tenderness,88,15,aanliggen,1
Opwinding_Excitement,141,7,aanloop,1
Schadenfreude,82,11,aanloop,1
Amusement,43,2,aanlopen,1
Tederheid_Tenderness,61,15,aanlopen,1
Trots_Pride,103,3,aanlopen,1
Verlichting_Elevation,114,14,aanlopen,1
Verlichting_Elevation,118,14,aanlopen,1
Verlichting_Elevation,9,14,aanmaken,1
