Emotion,in_Count_1,in_Count_2,in_Count_3,in_Count_4,in_Count_5,in_Count_6,in_Count_7,in_Count_8,in_Count_9,in_Count_10,in_Count_11,in_Count_12,in_Count_13,in_Count_14,in_Count_15,in_Count_16,in_Count_17,in_Ratio_1,in_Ratio_2,in_Ratio_3,in_Ratio_4,in_Ratio_5,in_Ratio_6,in_Ratio_7,in_Ratio_8,in_Ratio_9,in_Ratio_10,in_Ratio_11,in_Ratio_12,in_Ratio_13,in_Ratio_14,in_Ratio_15,in_Ratio_16,in_Ratio_17,across_Count_1,across_Count_2,across_Count_3,across_Count_4,across_Count_5,across_Count_6,across_Count_7,across_Count_8,across_Count_9,across_Count_10,across_Count_11,across_Count_12,across_Count_13,across_Count_14,across_Count_15,across_Count_16,across_Count_17,across_Ratio_1,across_Ratio_2,across_Ratio_3,across_Ratio_4,across_Ratio_5,across_Ratio_6,across_Ratio_7,across_Ratio_8,across_Ratio_9,across_Ratio_10,across_Ratio_11,across_Ratio_12,across_Ratio_13,across_Ratio_14,across_Ratio_15,across_Ratio_16,across_Ratio_17
Admiration,0,108,52,3968,393,0,85,0,0,21,35,782,26,0,224,0,0,0.0,0.036,0.012,0.912,0.059,0.0,0.01,0.0,0.0,0.005,0.008,0.022,0.002,0.0,0.022,0.0,0.0,0,108,52,3968,393,0,85,0,0,21,35,782,26,0,224,0,0,0.0,0.019,0.009,0.697,0.069,0.0,0.015,0.0,0.0,0.004,0.006,0.137,0.005,0.0,0.039,0.0,0.0
Amae,0,0,59,0,26,50,172,63,78,30,48,696,3542,0,92,62,43,0.0,0.0,0.013,0.0,0.004,0.013,0.021,0.013,0.028,0.008,0.011,0.02,0.317,0.0,0.009,0.015,0.009,0,0,59,0,26,50,172,63,78,30,48,696,3542,0,92,62,43,0.0,0.0,0.012,0.0,0.005,0.01,0.035,0.013,0.016,0.006,0.01,0.14,0.714,0.0,0.019,0.012,0.009
Amusement,0,0,3933,0,0,0,0,95,0,0,0,1193,137,0,102,0,0,0.0,0.0,0.876,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.034,0.012,0.0,0.01,0.0,0.0,0,0,3933,0,0,0,0,95,0,0,0,1193,137,0,102,0,0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.218,0.025,0.0,0.019,0.0,0.0
Awe,0,25,0,153,81,0,26,0,0,0,34,625,0,0,4875,0,0,0.0,0.008,0.0,0.035,0.012,0.0,0.003,0.0,0.0,0.0,0.007,0.018,0.0,0.0,0.476,0.0,0.0,0,25,0,153,81,0,26,0,0,0,34,625,0,0,4875,0,0,0.0,0.004,0.0,0.026,0.014,0.0,0.004,0.0,0.0,0.0,0.006,0.107,0.0,0.0,0.838,0.0,0.0
Determination,0,61,0,0,236,48,1600,73,0,0,0,3175,91,33,24,0,0,0.0,0.021,0.0,0.0,0.035,0.013,0.194,0.015,0.0,0.0,0.0,0.091,0.008,0.009,0.002,0.0,0.0,0,61,0,0,236,48,1600,73,0,0,0,3175,91,33,24,0,0,0.0,0.011,0.0,0.0,0.044,0.009,0.3,0.014,0.0,0.0,0.0,0.594,0.017,0.006,0.004,0.0,0.0
Elation,52,395,0,0,119,55,1540,180,0,0,75,2728,206,0,212,15,0,0.015,0.133,0.0,0.0,0.018,0.014,0.187,0.037,0.0,0.0,0.017,0.078,0.018,0.0,0.021,0.003,0.0,52,395,0,0,119,55,1540,180,0,0,75,2728,206,0,212,15,0,0.009,0.071,0.0,0.0,0.021,0.01,0.276,0.032,0.0,0.0,0.013,0.489,0.037,0.0,0.038,0.003,0.0
Elevation,0,0,0,82,24,41,0,0,0,0,197,3818,422,0,1216,106,45,0.0,0.0,0.0,0.019,0.004,0.011,0.0,0.0,0.0,0.0,0.043,0.109,0.038,0.0,0.119,0.025,0.01,0,0,0,82,24,41,0,0,0,0,197,3818,422,0,1216,106,45,0.0,0.0,0.0,0.014,0.004,0.007,0.0,0.0,0.0,0.0,0.033,0.642,0.071,0.0,0.204,0.018,0.008
Excitement,0,51,0,0,0,21,31,3698,0,0,64,866,172,0,100,0,0,0.0,0.017,0.0,0.0,0.0,0.005,0.004,0.751,0.0,0.0,0.014,0.025,0.015,0.0,0.01,0.0,0.0,0,51,0,0,0,21,31,3698,0,0,64,866,172,0,100,0,0,0.0,0.01,0.0,0.0,0.0,0.004,0.006,0.739,0.0,0.0,0.013,0.173,0.034,0.0,0.02,0.0,0.0
Gratitude,0,0,0,0,0,28,28,22,0,34,32,851,4471,0,96,27,0,0.0,0.0,0.0,0.0,0.0,0.007,0.003,0.004,0.0,0.009,0.007,0.024,0.4,0.0,0.009,0.006,0.0,0,0,0,0,0,28,28,22,0,34,32,851,4471,0,96,27,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.004,0.0,0.006,0.006,0.152,0.8,0.0,0.017,0.005,0.0
Hope,0,58,0,0,0,0,301,85,0,3807,0,627,86,0,0,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.036,0.017,0.0,0.97,0.0,0.018,0.008,0.0,0.0,0.0,0.0,0,58,0,0,0,0,301,85,0,3807,0,627,86,0,0,0,0,0.0,0.012,0.0,0.0,0.0,0.0,0.061,0.017,0.0,0.767,0.0,0.126,0.017,0.0,0.0,0.0,0.0
