Emotion,in_Ratio_1,in_Ratio_2,in_Ratio_3,in_Ratio_4,in_Ratio_5,in_Ratio_6,in_Ratio_7,in_Ratio_8,in_Ratio_9,in_Ratio_10,in_Ratio_11,in_Ratio_12,in_Ratio_13,in_Ratio_14,in_Ratio_15,in_Ratio_16,in_Ratio_17
Admiration,0.0,0.036,0.012,0.912,0.059,0.0,0.01,0.0,0.0,0.005,0.008,0.022,0.002,0.0,0.022,0.0,0.0
Amae,0.0,0.0,0.013,0.0,0.004,0.013,0.021,0.013,0.028,0.008,0.011,0.02,0.317,0.0,0.009,0.015,0.009
Amusement,0.0,0.0,0.876,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.034,0.012,0.0,0.01,0.0,0.0
Awe,0.0,0.008,0.0,0.035,0.012,0.0,0.003,0.0,0.0,0.0,0.007,0.018,0.0,0.0,0.476,0.0,0.0
Determination,0.0,0.021,0.0,0.0,0.035,0.013,0.194,0.015,0.0,0.0,0.0,0.091,0.008,0.009,0.002,0.0,0.0
Elation,0.015,0.133,0.0,0.0,0.018,0.014,0.187,0.037,0.0,0.0,0.017,0.078,0.018,0.0,0.021,0.003,0.0
Elevation,0.0,0.0,0.0,0.019,0.004,0.011,0.0,0.0,0.0,0.0,0.043,0.109,0.038,0.0,0.119,0.025,0.01
Excitement,0.0,0.017,0.0,0.0,0.0,0.005,0.004,0.751,0.0,0.0,0.014,0.025,0.015,0.0,0.01,0.0,0.0
Gratitude,0.0,0.0,0.0,0.0,0.0,0.007,0.003,0.004,0.0,0.009,0.007,0.024,0.4,0.0,0.009,0.006,0.0
Hope,0.0,0.02,0.0,0.0,0.0,0.0,0.036,0.017,0.0,0.97,0.0,0.018,0.008,0.0,0.0,0.0,0.0
Inspiration,0.0,0.0,0.0,0.004,0.148,0.0,0.0,0.018,0.0,0.0,0.049,0.107,0.005,0.0,0.059,0.0,0.0
Interested,0.0,0.0,0.006,0.006,0.686,0.0,0.0,0.0,0.0,0.0,0.017,0.025,0.0,0.0,0.02,0.0,0.0
Lust,0.0,0.0,0.0,0.0,0.011,0.007,0.0,0.02,0.972,0.0,0.014,0.027,0.009,0.0,0.016,0.0,0.0
Moved,0.0,0.0,0.0,0.0,0.003,0.0,0.019,0.0,0.0,0.0,0.782,0.014,0.021,0.019,0.099,0.051,0.0
Positive_Surprise,0.985,0.008,0.006,0.0,0.0,0.0,0.067,0.042,0.0,0.009,0.0,0.034,0.032,0.0,0.01,0.009,0.004
Pride,0.0,0.0,0.0,0.024,0.007,0.0,0.038,0.019,0.0,0.0,0.0,0.03,0.0,0.934,0.008,0.0,0.0
Relief,0.0,0.0,0.0,0.0,0.006,0.0,0.198,0.033,0.0,0.0,0.0,0.096,0.035,0.0,0.0,0.019,0.0
Respected,0.0,0.0,0.0,0.0,0.003,0.0,0.004,0.005,0.0,0.0,0.0,0.023,0.008,0.006,0.008,0.0,0.963
Schadenfreude,0.0,0.059,0.087,0.0,0.005,0.0,0.082,0.0,0.0,0.0,0.023,0.11,0.017,0.0,0.004,0.0,0.003
Sensory_Pleasure,0.0,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.008,0.007,0.0,0.098,0.007,0.011
Tenderness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.021,0.043,0.0,0.0,0.865,0.0
Triumph,0.0,0.698,0.0,0.0,0.0,0.0,0.134,0.006,0.0,0.0,0.0,0.065,0.005,0.033,0.0,0.0,0.0
